Video Name,Truth / Lie (0 / 1),Race (W / B / A / H / O),Gender (F / M)
00-13-953-W-B-user62,1,W,M
00-34-288-W-B-user99,1,A,M
01-01-49-W-B-user134,1,A,M
01-25-367-W-B-user148,1,W,M
01-38-934-W-B-user44,1,W,M
02-20-877-W-B-user149,1,O,F
02-28-29-W-B-user156,1,A,M
02-40-950-W-B-user18,1,W,M
03-12-820-W-B-user106,1,W,M
04-01-129-W-B-user111,1,W,F
04-57-574-W-B-user68,1,W,F
06-18-285-W-B-user113,1,B,F
06-44-152-W-B-user91,1,W,F
06-50-611-W-B-user74,1,W,M
06-57-279-W-B-user50,1,B,F
08-33-112-W-B-user130,1,O,M
09-14-629-W-B-user55,1,W,F
09-18-253-W-B-user97,1,A,F
09-44-142-W-B-user63,1,W,F
11-17-124-W-B-user53,1,W,F
11-22-452-W-B-user86,1,W,M
11-22-778-W-B-user103,1,H,M
11-26-504-W-B-user160,1,A,M
11-44-333-W-B-user157,1,W,M
11-45-95-W-B-user158,1,A,M
12-03-237-W-B-user127,1,W,F
12-23-235-W-B-user104,1,W,F
12-24-294-W-B-user155,1,W,F
13-11-507-W-B-user110,1,W,F
13-20-248-W-B-user68,1,W,F
14-04-955-W-B-user112,1,W,M
14-45-849-W-B-user125,1,O,F
15-00-532-W-B-user99,1,A,M
16-14-317-W-B-user64,1,W,F
16-40-42-W-B-user3,1,W,F
17-10-481-W-B-user108,1,W,M
17-15-163-W-B-user54,1,W,F
18-12-410-W-B-user150,1,A,F
18-43-166-W-B-user156,1,A,F
19-04-926-W-B-user121,1,W,F
19-27-616-W-B-user30,1,O,M
19-35-145-W-B-user152,1,A,M
20-31-480-W-B-user99,1,A,M
20-40-167-W-B-user104,1,W,F
21-37-95-W-B-user23,1,O,F
22-05-764-W-B-user119,1,B,M
24-30-926-W-B-user88,1,W,M
26-15-622-W-B-user92,1,W,F
27-19-148-W-B-user129,1,W,M
27-35-915-W-B-user144,1,W,M
27-37-757-W-B-user90,1,W,M
27-51-501-W-B-user107,1,W,M
28-32-854-W-B-user16,1,W,M
28-52-283-W-B-user150,1,A,F
30-40-756-W-B-user128,1,H,M
30-42-250-W-B-user67,1,W,M
30-46-620-W-B-user42,1,A,F
31-08-51-W-B-user161,1,W,M
33-07-644-W-B-user71,1,A,M
35-42-851-W-B-user123,1,B,M
36-04-870-W-B-user98,1,A,M
36-37-921-W-B-user87,1,W,F
37-36-401-W-B-user68,1,W,F
38-55-777-W-B-user43,1,A,M
41-41-762-W-B-user148,1,W,M
44-30-30-W-B-user84,1,W,M
46-30-695-W-B-user47,1,A,M
47-20-540-W-B-user94,1,W,M
48-39-430-W-B-user135,1,A,F
50-29-214-W-B-user137,1,H,F
50-50-13-W-B-user57,1,W,M
51-16-907-W-B-user85,1,W,M
57-19-201-W-B-user25,1,W,F
57-52-839-W-B-user58,1,W,F
59-09-521-W-B-user14,1,W,M
01-50-492-W-T-user2,0,B,F
02-09-31-W-T-user101,0,A,F
02-44-269-W-T-user64,0,W,F
03-23-90-W-T-user51,0,O,M
03-42-701-W-T-user27,0,W,M
03-47-890-W-T-user151,0,A,M
04-30-467-W-T-user161,0,W,M
04-38-645-W-T-user96,0,W,M
05-06-501-W-T-user158,0,W,M
05-15-634-W-T-user78,0,W,M
05-44-437-W-T-user115,0,W,M
05-49-922-W-T-user10,0,W,M
05-50-814-W-T-user20,0,W,M
07-53-382-W-T-user147,0,O,M
09-02-798-W-T-user99,0,A,M
09-32-917-W-T-user100,0,W,F
10-48-352-W-T-user38,0,A,F
11-09-515-W-T-user150,0,A,F
11-59-155-W-T-user118,0,W,F
12-05-243-W-T-user8,0,B,F
12-07-438-W-T-user62,0,W,M
12-38-74-W-T-user133,0,O,F
13-01-549-W-T-user51,0,O,M
13-27-771-W-T-user33,0,A,M
14-08-252-W-T-user89,0,W,F
14-08-617-W-T-user141,0,W,M
15-13-468-W-T-user5,0,A,F
15-21-96-W-T-user79,0,W,F
15-29-238-W-T-user116,0,A,F
15-58-679-W-T-user28,0,B,M
16-19-112-W-T-user21,0,W,M
16-48-797-W-T-user93,0,W,F
16-56-369-W-T-user71,0,A,M
18-39-581-W-T-user35,0,B,F
18-42-263-W-T-user131,0,B,F
18-48-414-W-T-user145,0,W,F
19-05-68-W-T-user158,0,W,M
20-05-755-W-T-user122,0,B,F
20-28-731-W-T-user126,0,A,F
20-38-706-W-T-user12,0,W,F
21-03-94-W-T-user99,0,A,M
21-16-706-W-T-user110,0,W,F
21-24-649-W-T-user52,0,W,M
22-10-468-W-T-user124,0,W,M
22-31-901-W-T-user87,0,W,F
22-35-549-W-T-user63,0,W,F
22-41-332-W-T-user73,0,W,M
24-24-724-W-T-user132,0,H,F
24-43-478-W-T-user70,0,W,F
26-17-966-W-T-user152,0,A,M
28-32-985-W-T-user97,0,A,F
28-45-33-W-T-user64,0,W,F
29-09-99-W-T-user143,0,O,F
29-48-550-W-T-user125,0,H,F
30-57-338-W-T-user88,0,W,M
31-23-340-W-T-user56,0,W,M
31-59-194-W-T-user69,0,W,M
33-47-982-W-T-user119,0,B,M
36-53-693-W-T-user108,0,W,M
37-32-755-W-T-user124,0,W,M
38-26-565-W-T-user76,0,H,M
38-29-906-W-T-user95,0,W,M
39-18-93-W-T-user40,0,W,M
39-49-946-W-T-user89,0,W,F
40-07-485-W-T-user150,0,A,F
40-18-142-W-T-user139,0,W,F
44-02-309-W-T-user137,0,H,F
48-00-366-W-T-user138,0,W,F
48-02-966-W-T-user147,0,B,M
54-10-129-W-T-user49,0,W,F
56-40-959-W-T-user137,0,H,F
57-43-236-W-T-user159,0,W,M
58-28-695-W-T-user80,0,W,F
58-57-956-W-T-user146,0,W,M
